code,name,country,magic1,magic2
FKP,포크랜드 제도파운드,포크랜드 제도,,
GBP,영국 파운드,올더니섬,,
GBP,영국 파운드,영국령 인도양 식민지,,
GBP,영국 파운드,대영국,,
GBP,영국 파운드,메인 섬,,
GEL,라리,조지아,,
GEL,라리,남오세티아,,
GHS,세디,가나,,
GIP,지브롤터 파운드,지브롤터,,
GMD,달라시,잠비아,,
GNF,기니아 프랑,기니아,,
GTQ,케트살,과테말라,,
GYD,과야나 달러,과야나,,
HKD,홍콩달러,홍콩,,
HNL,렘피라,온두라스,,
HRK,크로아티안 쿠나,크로아티나,,
HTG,구르드,아이티,,
HUF,포린트,헝가리,,
IDR,루피아,인도네시아,,
ILS,새 이스라엘 셰켈,이스라엘,,
ILS,새 이스라엘 셰켈,팔레스타인,,
INR,인디안 루피,부탄,,
INR,인디안 루피,인도,,
IQD,이라크 디나르,이라크,,
IRR,이라니안 리알,이란,,
ISK,아이슬랜드 크로나,아이슬랜드,,
JMD,자메이칸 달러,자메이카,,
JOD,요르단 디나르,요르단,,
JPY,옌,일본,,
KES,케냐 실링,케냐,,
KGS,섬,키르키스탄,,
KHR,릴,캄보디아,,
KPW,북한 원,북한,,
KRW,남한 원,남한,,
KWD,쿠웨이트 디나르,쿠웨이트,,
KYD,케이맨제도 달러,케이맨제도,,
KZT,텡게,카자흐스탄,,
LAK,킵,라오스,,
LBP,레바논 파운드,레바논,,
LKR,스리랑카 루피,스리랑카,,
LRD,리베리아 달러,리베리아,,
LSL,로티,레소토,,
LYD,리비야 디나르,리비야,,
MAD,모로코 디르함,모로코,,
MDL,몰도바 레우,몰도바,,
MGA,마다가스카르 아리아,마다가스카드,,
MKD,데나르,마케도니아,,
MMK,차트,미얀마 (버마),,
MNT,투그리크,몽골,,
MOP,파타카,마카오,,
MRO,우기야,모리타니,,
MUR,모리셔스 루피,모리셔스,,
MVR,루피야,몰디브,,
MWK,콰차,말라위,,
MXN,멕시코 페소,멕시코,,
MYR,말레이시아 링겟,말레이시아,,
MZN,메티칼,모잠비크,,
NAD,나미비야 달러,나미비야,,
NGN,나이라,나이지리아,,
NIO,코르도바,니카라과,,
NOK,노르웨이 크로네,노르웨이,,
NPR,네팔 루피,네팔,,
NZD,뉴질랜드 달러,쿡 제도,,
NZD,뉴질랜드 달러,뉴질랜드,,
NZD,뉴질랜드 달러,니우에섬,,
NZD,뉴질랜드 달러,피트케언섬,,
OMR,리알 오마니,오만,,
PAB,발보아,파나마,,
PEN,누에보 솔,페루,,
PGK,키나,파푸아뉴기니아,,
PHP,필리핀 페소,필리핀,,
PKR,파키스탄 루피,파키스탄,,
PLN,P즐로티,폴란드,,
PYG,과라니,파라과이,,
QAR,카타르 리알,카타르,,
RON,레우,루마니아,,
RSD,세르비아 디나르,코소보,,
RSD,세르비아 디나르,세르비아,,
RUB,러시아 루블,러시아,,
RUB,러시아 루블,남오세티아,,
RWF,르완다 프랑,르완다,,
SAR,사우디 리알,사우디아라비아,,
SBD,솔로몬제도 달러,솔로몬제도,,
SCR,세이셸 루피,세이셸,,
SDG,수단 파운드,수단,,
SEK,스웨덴 크로나,스웨덴,,
SGD,싱가폴 달러,부루나이,,
SGD,싱가폴 달러,싱가폴,,
SHP,세인트 헬레나 파운드,어센션 섬,,
SHP,세인트 헬레나 파운드,헬레나,,
SHP,세인트 헬레나 파운드,트리스탄 다쿠나,,
SLL,리온,시레라 리온,,
SOS,소말리아 실링,소말리아,,
SRD,수리남 달러,수리남,,
STD,도브라,상투메 프린시페,,
SYP,시리아 파운드,시리아,,
SZL,리랑게니,스위스,,
THB,바트,태국,,
TJS,소모니,타지키스탄,,
TMT,마나트,투르크메니스탄,,
TND,튀니지 디나르,튀니지,,
TOP,파앙가,통가,,
TRY,터키리라,북사이프러스,,
TRY,터키리라,터키,,
TTD,트리니아드 토바고 달러,트리니아드 토바고,,
TWD,대만달러,대만,,
TZS,탄자니아 실링,탄자니아,,
UAH,흐리브냐,우크라이나,,
UGX,우간다 실링,우간다,,
USD,US 달러,미국령 사모아,,
USD,US 달러,영국령 인도양 식민지,,
USD,US 달러,영국령 버진제도,,
USD,US 달러,괌,,
USD,US 달러,아이티,,
USD,US 달러,마샬군도,,
USD,US 달러,미크로네시아,,
USD,US 달러,북마리아나섬,,
USD,US 달러,태평양 외딴섬,,
USD,US 달러,팔아우,,
USD,US 달러,파나마,,
USD,US 달러,푸에르토리코,,
USD,US 달러,터크스카이코스제도,,
USD,US 달러,미국,,
USD,US 달러,버진 아일랜드,,
UYU,우루과이 페소,우루과이,,
UZS,우즈베키스탄 금액,우즈베키스탄,,
VEF,볼리바르,베네수엘라,,
VND,동,베트남,,
VUV,바투,바누아투,,
WST,탈라,사모아,,
XAF,CFA 프랑 BCEAO,베냉,,
XAF,CFA 프랑 BCEAO,부르키나 파소,,
XAF,CFA 프랑 BCEAO,카메룬,,
XAF,CFA 프랑 BCEAO,중앙아프리카공화국,,
XAF,CFA 프랑 BCEAO,차드,,
XAF,CFA 프랑 BCEAO,콩고공화국,,
XAF,CFA 프랑 BCEAO,코트디부아르,,
XAF,CFA 프랑 BCEAO,적도기니,,
XAF,CFA 프랑 BCEAO,가봉,,
XAF,CFA 프랑 BCEAO,기니비사우,,
XAF,CFA 프랑 BCEAO,말리,,
XAF,CFA 프랑 BCEAO,니제르,,
XAF,CFA 프랑 BCEAO,세네갈,,
XAF,CFA 프랑 BCEAO,토고,,
XCD,동카리브 달러,앙귈라,,
XCD,동카리브 달러,앤티가 바부다,,
XCD,동카리브 달러,도미니카,,
XCD,동카리브 달러,그레나다,,
XCD,동카리브 달러,몬세라트산,,
XCD,동카리브 달러,세이트 키츠섬,,
XCD,동카리브 달러,세인트루시아,,
XCD,동카리브 달러,세인트 빈센트섬,,
XPF,CFP 프랑,프랑스령 폴리네시아,,
XPF,CFP 프랑,뉴칼레도니아,,
XPF,CFP 프랑,월리스푸투나제도,,
YER,예멘 리알,예멘,,
ZAR,란드,레소토,,
ZAR,란드,나미비아,,
ZAR,란드,남아프리카,,
ZMW,잠비아 크와차,잠비아,,
ZWL,짐바브웨 달러,짐바브웨,,
